path,relative_path,filename,file_size_bytes,file,original,split,modify_type,audio_model,fake_segments,audio_fake_segments,visual_fake_segments,video_frames,audio_frames,video_model,has_audio_stream,audio_decodable,audio_codec,sample_rate,channels,audio_duration,binary_label,visual_fake,audio_fake,condition,clip_group
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id08968/ozvP4aAm254/00421/fake_video_real_audio.mp4,vox_celeb_2/id08968/ozvP4aAm254/00421/fake_video_real_audio.mp4,fake_video_real_audio.mp4,469433,vox_celeb_2/id08968/ozvP4aAm254/00421/fake_video_real_audio.mp4,vox_celeb_2/id08968/ozvP4aAm254/00421/real.mp4,val,visual_modified,,"[[2.24, 2.48]]",[],"[[2.24, 2.48]]",171,109568,Talklip,True,True,pcm_s16le,16000.0,1.0,6.784,1,1,0,fake_video_real_audio,vox_celeb_2/id08968/ozvP4aAm254/00421
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id04017/cAimi8EgfN8/00262/real.mp4,vox_celeb_2/id04017/cAimi8EgfN8/00262/real.mp4,real.mp4,268281,vox_celeb_2/id04017/cAimi8EgfN8/00262/real.mp4,VoxCeleb2/dev/mp4/id04017/cAimi8EgfN8/00262.mp4,val,real,,[],[],[],130,83968,,True,True,pcm_s16le,16000.0,1.0,5.12,0,0,0,real,vox_celeb_2/id04017/cAimi8EgfN8/00262
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id08993/2l7DYrXH-UE/00139/fake_video_real_audio.mp4,vox_celeb_2/id08993/2l7DYrXH-UE/00139/fake_video_real_audio.mp4,fake_video_real_audio.mp4,435172,vox_celeb_2/id08993/2l7DYrXH-UE/00139/fake_video_real_audio.mp4,vox_celeb_2/id08993/2l7DYrXH-UE/00139/real.mp4,val,visual_modified,,"[[2.84, 3.1]]",[],"[[2.84, 3.1]]",157,100352,Talklip,True,True,pcm_s16le,16000.0,1.0,6.272,1,1,0,fake_video_real_audio,vox_celeb_2/id08993/2l7DYrXH-UE/00139
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id02306/WFLlXFx9gZg/00242/fake_video_real_audio_p1.mp4,vox_celeb_2/id02306/WFLlXFx9gZg/00242/fake_video_real_audio_p1.mp4,fake_video_real_audio_p1.mp4,402901,vox_celeb_2/id02306/WFLlXFx9gZg/00242/fake_video_real_audio_p1.mp4,vox_celeb_2/id02306/WFLlXFx9gZg/00242/real.mp4,val,visual_modified,,"[[2.24, 2.42]]",[],"[[2.24, 2.42]]",133,84992,Talklip,True,True,pcm_s16le,16000.0,1.0,5.248,1,1,0,fake_video_real_audio,vox_celeb_2/id02306/WFLlXFx9gZg/00242
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id04997/0EGqMQhivHc/00011/fake_video_real_audio.mp4,vox_celeb_2/id04997/0EGqMQhivHc/00011/fake_video_real_audio.mp4,fake_video_real_audio.mp4,491377,vox_celeb_2/id04997/0EGqMQhivHc/00011/fake_video_real_audio.mp4,vox_celeb_2/id04997/0EGqMQhivHc/00011/real.mp4,val,visual_modified,,"[[0.78, 1.1]]",[],"[[0.78, 1.1]]",189,121856,Talklip,True,True,pcm_s16le,16000.0,1.0,7.552,1,1,0,fake_video_real_audio,vox_celeb_2/id04997/0EGqMQhivHc/00011
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id05261/8X6k3096Kgs/00076/real.mp4,vox_celeb_2/id05261/8X6k3096Kgs/00076/real.mp4,real.mp4,471746,vox_celeb_2/id05261/8X6k3096Kgs/00076/real.mp4,VoxCeleb2/dev/mp4/id05261/8X6k3096Kgs/00076.mp4,val,real,,[],[],[],235,150528,,True,True,pcm_s16le,16000.0,1.0,9.344,0,0,0,real,vox_celeb_2/id05261/8X6k3096Kgs/00076
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id07713/IBhQn7t0-FA/00052/fake_video_real_audio.mp4,vox_celeb_2/id07713/IBhQn7t0-FA/00052/fake_video_real_audio.mp4,fake_video_real_audio.mp4,283592,vox_celeb_2/id07713/IBhQn7t0-FA/00052/fake_video_real_audio.mp4,vox_celeb_2/id07713/IBhQn7t0-FA/00052/real.mp4,val,visual_modified,,"[[0.78, 0.92]]",[],"[[0.78, 0.92]]",130,83968,Talklip,True,True,pcm_s16le,16000.0,1.0,5.12,1,1,0,fake_video_real_audio,vox_celeb_2/id07713/IBhQn7t0-FA/00052
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id03684/Ghvxpqp6OUw/00042/real.mp4,vox_celeb_2/id03684/Ghvxpqp6OUw/00042/real.mp4,real.mp4,1551533,vox_celeb_2/id03684/Ghvxpqp6OUw/00042/real.mp4,VoxCeleb2/dev/mp4/id03684/Ghvxpqp6OUw/00042.mp4,val,real,,[],[],[],738,473088,,True,True,pcm_s16le,16000.0,1.0,29.44,0,0,0,real,vox_celeb_2/id03684/Ghvxpqp6OUw/00042
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/td5Ld3nURAI/00009/fake_video_real_audio_p2.mp4,lrs3/td5Ld3nURAI/00009/fake_video_real_audio_p2.mp4,fake_video_real_audio_p2.mp4,1461383,lrs3/td5Ld3nURAI/00009/fake_video_real_audio_p2.mp4,,val,visual_modified,,"[[1.791, 2.291], [3.473, 4.173]]",[],"[[1.791, 2.291], [3.473, 4.173]]",468,827392,Talklip,True,True,pcm_s16le,16000.0,1.0,18.688,1,1,0,fake_video_real_audio,lrs3/td5Ld3nURAI/00009
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01329/KKoWfepLTbQ/00049/real.mp4,vox_celeb_2/id01329/KKoWfepLTbQ/00049/real.mp4,real.mp4,504744,vox_celeb_2/id01329/KKoWfepLTbQ/00049/real.mp4,VoxCeleb2/dev/mp4/id01329/KKoWfepLTbQ/00049.mp4,val,real,,[],[],[],201,129024,,True,True,pcm_s16le,16000.0,1.0,7.936,0,0,0,real,vox_celeb_2/id01329/KKoWfepLTbQ/00049
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id02270/V2m6cBeJrg8/00311/real_video_fake_audio.mp4,vox_celeb_2/id02270/V2m6cBeJrg8/00311/real_video_fake_audio.mp4,real_video_fake_audio.mp4,529612,vox_celeb_2/id02270/V2m6cBeJrg8/00311/real_video_fake_audio.mp4,vox_celeb_2/id02270/V2m6cBeJrg8/00311/real.mp4,val,audio_modified,vits,"[[1.5, 1.74]]","[[1.5, 1.74]]",[],229,146688,,True,True,pcm_s16le,16000.0,1.0,9.088,1,0,1,real_video_fake_audio,vox_celeb_2/id02270/V2m6cBeJrg8/00311
