merge_key,split,path,relative_path,condition,binary_label,visual_fake,audio_fake,visual_positive_rate_default,visual_max,visual_mean,visual_top5_mean,visual_top10_mean,visual_top20_mean,audio_positive_rate_default,audio_max,audio_mean,audio_top5_mean,audio_top10_mean,audio_top20_mean
vox_celeb_2/id08968/ozvP4aAm254/00421/fake_video_real_audio.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id08968/ozvP4aAm254/00421/fake_video_real_audio.mp4,vox_celeb_2/id08968/ozvP4aAm254/00421/fake_video_real_audio.mp4,fake_video_real_audio,1,1,0,0.0,0.18674008548259735,0.023387685418128967,0.1034148633480072,0.07495557516813278,0.0546189583837986,0.0,0.31875643134117126,0.1751815378665924,0.27477094531059265,0.25729987025260925,0.2413562685251236
vox_celeb_2/id04017/cAimi8EgfN8/00262/real.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id04017/cAimi8EgfN8/00262/real.mp4,vox_celeb_2/id04017/cAimi8EgfN8/00262/real.mp4,real,0,0,0,0.0,0.391951322555542,0.18483632802963257,0.33073365688323975,0.31269803643226624,0.29403939843177795,0.0,0.20323370397090912,0.12050070613622665,0.1846262514591217,0.17697668075561523,0.16811230778694153
vox_celeb_2/id08993/2l7DYrXH-UE/00139/fake_video_real_audio.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id08993/2l7DYrXH-UE/00139/fake_video_real_audio.mp4,vox_celeb_2/id08993/2l7DYrXH-UE/00139/fake_video_real_audio.mp4,fake_video_real_audio,1,1,0,0.0,0.25127512216567993,0.05893244594335556,0.18902374804019928,0.15932105481624603,0.12369529902935028,0.0,0.29949891567230225,0.22491945326328278,0.2840249538421631,0.2795552909374237,0.2724580764770508
vox_celeb_2/id02306/WFLlXFx9gZg/00242/fake_video_real_audio_p1.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id02306/WFLlXFx9gZg/00242/fake_video_real_audio_p1.mp4,vox_celeb_2/id02306/WFLlXFx9gZg/00242/fake_video_real_audio_p1.mp4,fake_video_real_audio,1,1,0,0.25,0.7928492426872253,0.37053725123405457,0.7569284439086914,0.7146086692810059,0.6640819311141968,0.0,0.3563690483570099,0.15318146347999573,0.3456984758377075,0.3304605484008789,0.3015325665473938
vox_celeb_2/id04997/0EGqMQhivHc/00011/fake_video_real_audio.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id04997/0EGqMQhivHc/00011/fake_video_real_audio.mp4,vox_celeb_2/id04997/0EGqMQhivHc/00011/fake_video_real_audio.mp4,fake_video_real_audio,1,1,0,0.0625,0.7256546020507812,0.29270344972610474,0.6150552034378052,0.5605431795120239,0.5069442391395569,0.0,0.3672139048576355,0.1925770342350006,0.31577134132385254,0.29764434695243835,0.28025171160697937
vox_celeb_2/id05261/8X6k3096Kgs/00076/real.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id05261/8X6k3096Kgs/00076/real.mp4,vox_celeb_2/id05261/8X6k3096Kgs/00076/real.mp4,real,0,0,0,0.0,0.06416115164756775,0.03076944872736931,0.061897873878479004,0.056960202753543854,0.051290784031152725,0.0,0.27908939123153687,0.16465502977371216,0.2687858045101166,0.2586670219898224,0.24152158200740814
vox_celeb_2/id07713/IBhQn7t0-FA/00052/fake_video_real_audio.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id07713/IBhQn7t0-FA/00052/fake_video_real_audio.mp4,vox_celeb_2/id07713/IBhQn7t0-FA/00052/fake_video_real_audio.mp4,fake_video_real_audio,1,1,0,0.0,0.2449847161769867,0.11323434114456177,0.22020235657691956,0.1976536512374878,0.17400020360946655,0.0,0.29585498571395874,0.2053738683462143,0.28085747361183167,0.2674823999404907,0.25411850214004517
vox_celeb_2/id03684/Ghvxpqp6OUw/00042/real.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id03684/Ghvxpqp6OUw/00042/real.mp4,vox_celeb_2/id03684/Ghvxpqp6OUw/00042/real.mp4,real,0,0,0,0.0,0.22877134382724762,0.11077474057674408,0.20463210344314575,0.19111385941505432,0.17751345038414001,0.0,0.4077370762825012,0.20320537686347961,0.3760910630226135,0.35019680857658386,0.3212220072746277
lrs3/td5Ld3nURAI/00009/fake_video_real_audio_p2.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/td5Ld3nURAI/00009/fake_video_real_audio_p2.mp4,lrs3/td5Ld3nURAI/00009/fake_video_real_audio_p2.mp4,fake_video_real_audio,1,1,0,0.0,0.327104389667511,0.15226316452026367,0.3025016784667969,0.2827008068561554,0.2553788423538208,0.015625,0.5517405271530151,0.29152220487594604,0.4763863980770111,0.44638997316360474,0.40963679552078247
vox_celeb_2/id01329/KKoWfepLTbQ/00049/real.mp4,train,/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01329/KKoWfepLTbQ/00049/real.mp4,vox_celeb_2/id01329/KKoWfepLTbQ/00049/real.mp4,real,0,0,0,0.0,0.4011414647102356,0.05351170897483826,0.25589194893836975,0.1903255432844162,0.1375921219587326,0.0,0.3298417031764984,0.254668653011322,0.32558149099349976,0.32087159156799316,0.3072172701358795
