path,relative_path,filename,file_size_bytes,file,original,split,modify_type,audio_model,fake_segments,audio_fake_segments,visual_fake_segments,video_frames,audio_frames,video_model,has_audio_stream,audio_decodable,audio_codec,sample_rate,channels,audio_duration,binary_label,visual_fake,audio_fake,condition
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01768/D-uD6O2z3Qs/00058/real.mp4,vox_celeb_2/id01768/D-uD6O2z3Qs/00058/real.mp4,real.mp4,514274,vox_celeb_2/id01768/D-uD6O2z3Qs/00058/real.mp4,VoxCeleb2/dev/mp4/id01768/D-uD6O2z3Qs/00058.mp4,val,real,,[],[],[],262,167936,,True,True,pcm_s16le,16000.0,1.0,10.368,0,0,0,real
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01160/TsnsXk0_WwU/00314/fake_video_real_audio.mp4,vox_celeb_2/id01160/TsnsXk0_WwU/00314/fake_video_real_audio.mp4,fake_video_real_audio.mp4,509014,vox_celeb_2/id01160/TsnsXk0_WwU/00314/fake_video_real_audio.mp4,vox_celeb_2/id01160/TsnsXk0_WwU/00314/real.mp4,val,visual_modified,,"[[0.48, 0.8]]",[],"[[0.48, 0.8]]",208,133120,Talklip,True,True,pcm_s16le,16000.0,1.0,8.32,1,1,0,fake_video_real_audio
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id09010/m9OcOJKVhSU/00376/fake_video_real_audio.mp4,vox_celeb_2/id09010/m9OcOJKVhSU/00376/fake_video_real_audio.mp4,fake_video_real_audio.mp4,476062,vox_celeb_2/id09010/m9OcOJKVhSU/00376/fake_video_real_audio.mp4,vox_celeb_2/id09010/m9OcOJKVhSU/00376/real.mp4,val,visual_modified,,"[[1.52, 3.14]]",[],"[[1.52, 3.14]]",201,128000,Talklip,True,True,pcm_s16le,16000.0,1.0,8.0,1,1,0,fake_video_real_audio
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id06881/bpSc9DldlvE/00168/real.mp4,vox_celeb_2/id06881/bpSc9DldlvE/00168/real.mp4,real.mp4,635146,vox_celeb_2/id06881/bpSc9DldlvE/00168/real.mp4,VoxCeleb2/dev/mp4/id06881/bpSc9DldlvE/00168.mp4,val,real,,[],[],[],271,174080,,True,True,pcm_s16le,16000.0,1.0,10.752,0,0,0,real
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id04452/CS8jefagr5w/00030/fake_video_real_audio_p1.mp4,vox_celeb_2/id04452/CS8jefagr5w/00030/fake_video_real_audio_p1.mp4,fake_video_real_audio_p1.mp4,406889,vox_celeb_2/id04452/CS8jefagr5w/00030/fake_video_real_audio_p1.mp4,vox_celeb_2/id04452/CS8jefagr5w/00030/real.mp4,val,visual_modified,,"[[0.0, 0.44]]",[],"[[0.0, 0.44]]",132,84992,Talklip,True,True,pcm_s16le,16000.0,1.0,5.317375,1,1,0,fake_video_real_audio
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id07642/v0ND9y-ISr0/00397/real.mp4,vox_celeb_2/id07642/v0ND9y-ISr0/00397/real.mp4,real.mp4,466365,vox_celeb_2/id07642/v0ND9y-ISr0/00397/real.mp4,VoxCeleb2//dev/mp4/id07642/v0ND9y-ISr0/00397.mp4,val,real,,[],[],[],210,135168,,True,True,pcm_s16le,16000.0,1.0,8.32,0,0,0,real
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id06983/HY0wlAsc_7M/00101/real.mp4,vox_celeb_2/id06983/HY0wlAsc_7M/00101/real.mp4,real.mp4,301437,vox_celeb_2/id06983/HY0wlAsc_7M/00101/real.mp4,VoxCeleb2/dev/mp4/id06983/HY0wlAsc_7M/00101.mp4,val,real,,[],[],[],157,101376,,True,True,pcm_s16le,16000.0,1.0,6.272,0,0,0,real
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id07637/Y3W26NdKSGc/00154/real.mp4,vox_celeb_2/id07637/Y3W26NdKSGc/00154/real.mp4,real.mp4,421031,vox_celeb_2/id07637/Y3W26NdKSGc/00154/real.mp4,VoxCeleb2/dev/mp4/id07637/Y3W26NdKSGc/00154.mp4,val,real,,[],[],[],199,128000,,True,True,pcm_s16le,16000.0,1.0,7.936,0,0,0,real
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id06953/BdFb6yCSgx4/00064/real_video_fake_audio_p1.mp4,vox_celeb_2/id06953/BdFb6yCSgx4/00064/real_video_fake_audio_p1.mp4,real_video_fake_audio_p1.mp4,936817,vox_celeb_2/id06953/BdFb6yCSgx4/00064/real_video_fake_audio_p1.mp4,vox_celeb_2/id06953/BdFb6yCSgx4/00064/real.mp4,val,audio_modified,yourtts,"[[1.38, 1.62]]","[[1.38, 1.62]]",[],168,107968,,True,True,pcm_s16le,16000.0,1.0,6.757062,1,0,1,real_video_fake_audio
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id06949/MTImytufkic/00067/fake_video_fake_audio.mp4,vox_celeb_2/id06949/MTImytufkic/00067/fake_video_fake_audio.mp4,fake_video_fake_audio.mp4,496120,vox_celeb_2/id06949/MTImytufkic/00067/fake_video_fake_audio.mp4,vox_celeb_2/id06949/MTImytufkic/00067/real.mp4,val,both_modified,vits,"[[0.54, 1.08]]","[[0.54, 1.08]]","[[0.54, 1.08]]",214,137600,Talklip,True,True,pcm_s16le,16000.0,1.0,8.448,1,1,1,fake_video_fake_audio
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/vox_celeb_2/id01235/np2ufUdMZng/00385/real.mp4,vox_celeb_2/id01235/np2ufUdMZng/00385/real.mp4,real.mp4,277188,vox_celeb_2/id01235/np2ufUdMZng/00385/real.mp4,VoxCeleb2/dev/mp4/id01235/np2ufUdMZng/00385.mp4,val,real,,[],[],[],136,87040,,True,True,pcm_s16le,16000.0,1.0,5.44,0,0,0,real
