epoch,train_loss,train_frame_accuracy,train_frame_balanced_accuracy,train_frame_f1,train_frame_precision,train_frame_recall,train_frame_auc,val_loss,val_frame_accuracy,val_frame_balanced_accuracy,val_frame_f1,val_frame_precision,val_frame_recall,val_frame_auc
1,0.8575259447919008,0.870839559012456,0.6119627762784914,0.11865177282860506,0.07190618150145207,0.3390936322788545,0.7142800614744969,0.8123696972342098,0.8934871646026832,0.6366048599646653,0.15003538570417552,0.0943709279268342,0.36580392156862745,0.7626710230096292
2,0.8116182417665725,0.856630755553073,0.6589780778029035,0.13880743596285514,0.08203852811527863,0.45064221849044617,0.7588454926011292,0.7947159219042395,0.8237336601307189,0.6950141600707245,0.1402241594022416,0.0801603656937315,0.5593202614379085,0.779689956477405
3,0.7968432270976059,0.8577010487069207,0.6719176848761764,0.14644020710126288,0.0865274962313449,0.4760926791630736,0.7710365549122216,0.7760451987185838,0.86343846749226,0.6904705468598074,0.16054318377056764,0.0953315217924445,0.5081307189542483,0.7889115742659653
4,0.7951902485570315,0.8552436509709732,0.6769540377385753,0.14765493850423106,0.08695485505842857,0.48902782190350835,0.7732191604736536,0.7865440534241306,0.9072873667010664,0.6523923002977656,0.1753991777416579,0.11368460191798224,0.3836862745098039,0.7870747728330285
5,0.788298661414432,0.8555057695172131,0.6789446166933473,0.1488644522929444,0.08767326243038721,0.49284028502700494,0.7778265762917266,0.7816731447528883,0.8163619066047472,0.7066817604442073,0.14194763608965907,0.08065931713582361,0.5910588235294117,0.789029781886012
6,0.7867558144034204,0.8547479239978402,0.6821573845213427,0.15009362339563545,0.08829266534221994,0.5002382789452186,0.7792692761527434,0.8090103426502873,0.9123116077571379,0.6382727278996285,0.16998003078058024,0.11231007126529514,0.34938562091503267,0.7814174603165588
7,0.783383489313184,0.8554839505483253,0.6840431393750938,0.15153481953145817,0.08919379745206538,0.5033359052330595,0.7820725951327332,0.7745166517099565,0.8893605413656691,0.6704284541980259,0.16959648220427018,0.10506322787024541,0.43963398692810457,0.792125548622953
8,0.7799701486720271,0.8562281228471951,0.6849829426993489,0.1524934833310468,0.0898223795324331,0.5044819134933962,0.7838924586854035,0.769859917843756,0.832078280873753,0.709376385906406,0.15076927258888767,0.08664578565458848,0.5800261437908497,0.7944452338238275
9,0.7797452077741484,0.8562790337746001,0.6875832616900381,0.15389200122628569,0.09062522062754037,0.5097694367539599,0.7845233054763728,0.7755959730481298,0.8539879493464052,0.694198715429057,0.15616870258054996,0.09170421173595024,0.5257516339869281,0.7884862657046678
10,0.7764457103376377,0.857400528775438,0.6892967129835063,0.1555146666115355,0.09167746627070375,0.5121068397403894,0.7869689952690614,0.8241997014053261,0.7148343438252494,0.7206071825086509,0.11580991108851983,0.06291847941726388,0.7266928104575163,0.7905488545205527
11,0.7783879201778292,0.8546373745554748,0.6877351565154284,0.15293619041160914,0.08989971061170149,0.511811827712976,0.7858308208293985,0.7666074775689896,0.8757269629342965,0.6891915091984603,0.16923726453652885,0.10217141369660947,0.49254901960784314,0.7945125803879959
12,0.7743879500346147,0.8570310609022697,0.6912228179241935,0.1562861606606349,0.09207465337481642,0.516452593836518,0.788411920646707,0.7909318831805966,0.910687027003784,0.6527624398848658,0.17977639015721797,0.11765656043547788,0.3808627450980392,0.7895652716556256
13,0.7728773087452323,0.8579212748328958,0.693099310778452,0.15785861595657363,0.09307390116146663,0.5193686742613353,0.7891830964957015,0.7641323685933111,0.8600804631062952,0.6988016666046034,0.1626498757569178,0.09610559927015623,0.5287843137254902,0.7961795126059614
14,0.772475328947095,0.8562560511273716,0.6923000297870232,0.15634455015469514,0.09201947195780807,0.519482140425725,0.7899198201594292,0.809013159077398,0.9357880761953904,0.6303644876956198,0.1979792554798429,0.14578441308055468,0.30839215686274507,0.7967438025988689
15,0.7700922738120997,0.8592030665251634,0.6922766335826952,0.15828321582240834,0.09346821402896169,0.5163277810556892,0.7910057478925486,0.7723583616995509,0.8178682383040936,0.7118074605519213,0.14480317494368766,0.08233715540375701,0.6,0.7943759137841586
16,0.7711727842257138,0.8568931650188981,0.6929142183211348,0.1570816097823442,0.09251185790695328,0.5200721644805519,0.790572029626019,0.765970382323001,0.8981781583247334,0.6770662518084536,0.18308052222473775,0.11531671012603216,0.4439738562091503,0.7993161021468279
17,0.7703666049393282,0.8564844230017316,0.691925582561688,0.15629762016743487,0.09201869614336664,0.5184722915626561,0.7912763853860323,0.7646642754813588,0.8246662151702786,0.7165688136406705,0.15013156866321029,0.08574702210450348,0.6026143790849673,0.7996082971678677
18,0.7682890692037131,0.8577208312387123,0.6945321295270914,0.15847713831949053,0.0934027263673923,0.5225230336313711,0.7923775095172357,0.7655605160579019,0.8420810758513931,0.7052698302363782,0.15440848455195638,0.08952334865714977,0.561045751633987,0.795990145639099
19,0.7702369672051912,0.856960658362658,0.6945342469719578,0.15797261287427816,0.09302691451253751,0.5233286433985386,0.7912975925050806,0.7670257136015536,0.8334878633470932,0.7075543473913445,0.15068915649438325,0.08671062802694474,0.574797385620915,0.7967987210846083
20,0.7680126164634199,0.8586523557504329,0.6954189253890999,0.15957032770296567,0.09413591900127147,0.5233626832478555,0.7929559003262141,0.7668897214524723,0.8861597544719643,0.6846947220050009,0.1757649462470205,0.10797274683241692,0.47231372549019607,0.795689541568712
