epoch,train_loss,train_acc,train_balanced_acc,train_f1,train_precision,train_recall,val_loss,val_acc,val_balanced_acc,val_f1,val_precision,val_recall,val_auc
1,0.7796443119730269,0.5021785714285715,0.5021785714285714,0.5266410839813903,0.5019744934291448,0.5538571428571428,0.705509539604187,0.523,0.5229999999999999,0.563719512195122,0.5193820224719101,0.6163333333333333,0.5243712222222222
2,0.6976245698928834,0.5425357142857142,0.5425357142857143,0.5357544126707985,0.5438157604296961,0.5279285714285714,0.689401002407074,0.5546666666666666,0.5546666666666666,0.5700032185387834,0.5510267579340385,0.5903333333333334,0.5697537222222222
3,0.6771999226978846,0.5704642857142858,0.5704642857142856,0.5668287412209616,0.5716672720668362,0.5620714285714286,0.6771037069956461,0.5751666666666667,0.5751666666666667,0.5641990083775005,0.5791505791505791,0.55,0.6072654444444445
4,0.6644112188475473,0.5989285714285715,0.5989285714285715,0.5991290069251088,0.5988297416868845,0.5994285714285714,0.6672710487047832,0.595,0.595,0.5708230307311903,0.6070623591284748,0.5386666666666666,0.6336608888888888
5,0.6545223467009408,0.6199285714285714,0.6199285714285714,0.6192486583184258,0.6203584229390681,0.6181428571428571,0.6591476435661316,0.6106666666666667,0.6106666666666667,0.5827081100392998,0.6277906081601232,0.5436666666666666,0.6543068888888889
6,0.6467740093639919,0.63225,0.63225,0.6314734619376543,0.632809698013055,0.6301428571428571,0.6511077814102173,0.6255,0.6255,0.6096925482021887,0.6365614798694232,0.585,0.6713657777777777
7,0.6399628568376814,0.6449285714285714,0.6449285714285714,0.6468958658900412,0.6433314495620231,0.6505,0.6449472511609395,0.6381666666666667,0.6381666666666667,0.6433382618695581,0.6342727567217363,0.6526666666666666,0.6828011111111111
8,0.633635726247515,0.6525,0.6525000000000001,0.6551601927984122,0.6501828925154756,0.6602142857142858,0.6387722304662069,0.6455,0.6455,0.6430609162611176,0.6475160527205137,0.6386666666666667,0.694383
9,0.6285982264791217,0.6608928571428572,0.6608928571428572,0.6624,0.6594690265486726,0.6653571428571429,0.6348239792188008,0.6526666666666666,0.6526666666666667,0.6366806136680614,0.6673976608187134,0.6086666666666667,0.7021948888888889
10,0.6241679292406355,0.6628571428571428,0.6628571428571428,0.6685626009409451,0.6574368181190443,0.6800714285714285,0.6297543927828471,0.6576666666666666,0.6576666666666666,0.6499659168370825,0.6649232914923291,0.6356666666666667,0.7094732777777778
11,0.6199863454954965,0.6686785714285715,0.6686785714285715,0.6632790098363036,0.6742675817282857,0.6526428571428572,0.6260332582791647,0.6593333333333333,0.6593333333333333,0.6725408522909324,0.6474398519432449,0.6996666666666667,0.7155796666666667
12,0.616056121144976,0.6758928571428572,0.6758928571428571,0.6812993854258121,0.6701208981001727,0.6928571428571428,0.6232090512911479,0.6616666666666666,0.6616666666666666,0.6583641871423763,0.6648538409245411,0.652,0.7178222222222221
13,0.6119357770511082,0.6794642857142857,0.6794642857142857,0.6798187720737755,0.6790677784904854,0.6805714285714286,0.6182863779067993,0.6693333333333333,0.6693333333333333,0.6708692767086928,0.6677675033025099,0.674,0.7262474999999999
14,0.6088786380631583,0.6816785714285715,0.6816785714285715,0.6857968766524483,0.677037655738846,0.6947857142857143,0.617471164226532,0.6636666666666666,0.6636666666666666,0.6485545106234761,0.6790663749088257,0.6206666666666667,0.7276545555555556
15,0.6058102544375829,0.6840714285714286,0.6840714285714286,0.6851509111617312,0.6828178206583428,0.6875,0.61364089012146,0.6711666666666667,0.6711666666666667,0.6703425229741019,0.6720268006700167,0.6686666666666666,0.7323928333333333
16,0.6027674485615322,0.6893214285714285,0.6893214285714286,0.693059525069687,0.6848197475768775,0.7015,0.6106249017715454,0.678,0.6779999999999999,0.6682692307692307,0.6890934844192634,0.6486666666666666,0.7367298333333333
17,0.6004136168616159,0.6923571428571429,0.6923571428571429,0.6903666427030913,0.694862518089725,0.6859285714285714,0.6096738939285278,0.6761666666666667,0.6761666666666666,0.6945448828800503,0.6572448675989289,0.7363333333333333,0.7386257777777778
18,0.5997698152405875,0.6905714285714286,0.6905714285714286,0.6941541937305846,0.6862088218872139,0.7022857142857143,0.606921249071757,0.6756666666666666,0.6756666666666666,0.6552090715804394,0.6993192133131618,0.6163333333333333,0.7424135
