path,relative_path,filename,file_size_bytes,ffprobe_returncode,has_audio_stream,audio_codec,sample_rate,channels,audio_duration,ffprobe_error,audio_decode_returncode,audio_decodable,audio_decode_error
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/1Hok1iGFNSk/00004/fake_video_real_audio.mp4,lrs3/1Hok1iGFNSk/00004/fake_video_real_audio.mp4,fake_video_real_audio.mp4,1517990,0,True,pcm_s16le,16000,1.0,18.048000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/31ojbLK0vU4/00001/real_video_fake_audio.mp4,lrs3/31ojbLK0vU4/00001/real_video_fake_audio.mp4,real_video_fake_audio.mp4,863705,0,True,pcm_s16le,16000,1.0,9.920000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/8PQc3M2HQSs/00002/real_video_fake_audio.mp4,lrs3/8PQc3M2HQSs/00002/real_video_fake_audio.mp4,real_video_fake_audio.mp4,1662056,0,True,pcm_s16le,16000,1.0,19.456000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/2YPHJdq5QWM/00003/00003_p3.mp4,lrs3/2YPHJdq5QWM/00003/00003_p3.mp4,00003_p3.mp4,1605428,0,True,pcm_s16le,16000,1.0,24.798938,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/64fDIZiVSSM/00006/real_video_fake_audio.mp4,lrs3/64fDIZiVSSM/00006/real_video_fake_audio.mp4,real_video_fake_audio.mp4,596284,0,True,pcm_s16le,16000,1.0,5.760000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/1Hok1iGFNSk/00004/real.mp4,lrs3/1Hok1iGFNSk/00004/real.mp4,real.mp4,2223274,0,True,pcm_s16le,16000,1.0,17.920000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/1Hok1iGFNSk/00004/real_video_fake_audio.mp4,lrs3/1Hok1iGFNSk/00004/real_video_fake_audio.mp4,real_video_fake_audio.mp4,1527373,0,True,pcm_s16le,16000,1.0,18.176000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/1Hok1iGFNSk/00004/fake_video_fake_audio.mp4,lrs3/1Hok1iGFNSk/00004/fake_video_fake_audio.mp4,fake_video_fake_audio.mp4,1524347,0,True,pcm_s16le,16000,1.0,18.176000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/2YPHJdq5QWM/00002/00002_p3.mp4,lrs3/2YPHJdq5QWM/00002/00002_p3.mp4,00002_p3.mp4,1339097,0,True,pcm_s16le,16000,1.0,27.980062,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/31ojbLK0vU4/00001/real.mp4,lrs3/31ojbLK0vU4/00001/real.mp4,real.mp4,1177852,0,True,pcm_s16le,16000,1.0,9.728000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/8PQc3M2HQSs/00002/real.mp4,lrs3/8PQc3M2HQSs/00002/real.mp4,real.mp4,2360136,0,True,pcm_s16le,16000,1.0,19.328000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/64fDIZiVSSM/00006/real.mp4,lrs3/64fDIZiVSSM/00006/real.mp4,real.mp4,930863,0,True,pcm_s16le,16000,1.0,5.760000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/64fDIZiVSSM/00006/fake_video_real_audio.mp4,lrs3/64fDIZiVSSM/00006/fake_video_real_audio.mp4,fake_video_real_audio.mp4,592523,0,True,pcm_s16le,16000,1.0,5.760000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/8PQc3M2HQSs/00002/fake_video_real_audio.mp4,lrs3/8PQc3M2HQSs/00002/fake_video_real_audio.mp4,fake_video_real_audio.mp4,1659447,0,True,pcm_s16le,16000,1.0,19.456000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/31ojbLK0vU4/00001/fake_video_real_audio.mp4,lrs3/31ojbLK0vU4/00001/fake_video_real_audio.mp4,fake_video_real_audio.mp4,855550,0,True,pcm_s16le,16000,1.0,9.728000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/2YPHJdq5QWM/00001/00001_p1.mp4,lrs3/2YPHJdq5QWM/00001/00001_p1.mp4,00001_p1.mp4,2450165,0,True,pcm_s16le,16000,1.0,50.596313,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/2YPHJdq5QWM/00001/00001_p2.mp4,lrs3/2YPHJdq5QWM/00001/00001_p2.mp4,00001_p2.mp4,10595518,0,True,pcm_s16le,16000,1.0,50.596313,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/2YPHJdq5QWM/00002/00002_p2.mp4,lrs3/2YPHJdq5QWM/00002/00002_p2.mp4,00002_p2.mp4,1321325,0,True,pcm_s16le,16000,1.0,27.980062,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/2YPHJdq5QWM/00001/00001_p3.mp4,lrs3/2YPHJdq5QWM/00001/00001_p3.mp4,00001_p3.mp4,7519828,0,True,pcm_s16le,16000,1.0,50.596313,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/64fDIZiVSSM/00006/fake_video_fake_audio.mp4,lrs3/64fDIZiVSSM/00006/fake_video_fake_audio.mp4,fake_video_fake_audio.mp4,594304,0,True,pcm_s16le,16000,1.0,5.760000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/8PQc3M2HQSs/00002/fake_video_fake_audio.mp4,lrs3/8PQc3M2HQSs/00002/fake_video_fake_audio.mp4,fake_video_fake_audio.mp4,1662375,0,True,pcm_s16le,16000,1.0,19.456000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/31ojbLK0vU4/00001/fake_video_fake_audio.mp4,lrs3/31ojbLK0vU4/00001/fake_video_fake_audio.mp4,fake_video_fake_audio.mp4,864841,0,True,pcm_s16le,16000,1.0,9.920000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/2YPHJdq5QWM/00002/00002_p1.mp4,lrs3/2YPHJdq5QWM/00002/00002_p1.mp4,00002_p1.mp4,1572790,0,True,pcm_s16le,16000,1.0,27.980062,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/8SmeicgKjwA/00001/fake_video_fake_audio.mp4,lrs3/8SmeicgKjwA/00001/fake_video_fake_audio.mp4,fake_video_fake_audio.mp4,2944968,0,True,pcm_s16le,16000,1.0,31.680000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/8SmeicgKjwA/00001/fake_video_real_audio.mp4,lrs3/8SmeicgKjwA/00001/fake_video_real_audio.mp4,fake_video_real_audio.mp4,2931018,0,True,pcm_s16le,16000,1.0,31.360000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/95MmftgCHMo/00002/fake_video_fake_audio_p1.mp4,lrs3/95MmftgCHMo/00002/fake_video_fake_audio_p1.mp4,fake_video_fake_audio_p1.mp4,2239853,0,True,pcm_s16le,16000,1.0,28.288000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/95MmftgCHMo/00002/fake_video_fake_audio_p3.mp4,lrs3/95MmftgCHMo/00002/fake_video_fake_audio_p3.mp4,fake_video_fake_audio_p3.mp4,2023963,0,True,pcm_s16le,16000,1.0,28.288000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/8SmeicgKjwA/00001/real.mp4,lrs3/8SmeicgKjwA/00001/real.mp4,real.mp4,4295743,0,True,pcm_s16le,16000,1.0,30.976000,,0.0,True,
/home/jovyan/MSC_PROJECT/data/avdeepfake1mpp/extracted/val/val/lrs3/95MmftgCHMo/00002/fake_video_fake_audio_p2.mp4,lrs3/95MmftgCHMo/00002/fake_video_fake_audio_p2.mp4,fake_video_fake_audio_p2.mp4,2130385,0,True,pcm_s16le,16000,1.0,28.288000,,0.0,True,
